"","PC1","PC2","PC3","PC4","PC5","PC6"
"X465_Housing",0.256352989269965,0.562621007080363,0.3467541979458,-0.458699746191287,0.461792306889393,0.271743779382376
"X674_Housing",0.534036605436199,-0.110967295565747,-0.242483286942642,0.594019059607529,0.394450549161581,0.3677541842204
"X477_Housing",-0.439488914991793,0.389674085582617,-0.404899447323698,0.209954103715153,0.525222195593645,-0.413667690024987
"X139_Housing",-0.242996357151882,-0.351346895137077,0.744321156836078,0.295136973756901,0.389563003593536,-0.156936223120908
"X866_Housing",0.626337133686887,-0.0662363870744557,0.0349693263873156,-0.115404136484714,0.0429361498518918,-0.766113604188275
"X653_Housing",0.0677650936816404,0.625672493431597,0.319034451142258,0.540584152564649,-0.449105141461071,-0.0907314054501387
