"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"X348_Urb_Population.density",0.101168845033504,0.28278556621877,0.895113334885128,0.0499150546450191,0.18569601557742,0.256538564836545,-0.0760443812112562
"X265_Urb_",-0.590897056747905,-0.160726258938088,0.26689204845455,-0.0214840101427222,-0.00605689504550655,-0.312373467353695,0.675056250034165
"X534_Urb_",-0.456583269970257,0.297629859310457,-0.251903312169333,-0.0323758126836227,-0.0146505071759034,0.78756315568863,0.134068456180254
"X479_Inf_Noise",-0.24316235977408,-0.425746779422436,0.0928835085776643,0.797418107332764,-0.164375524208791,0.12516757537124,-0.269114339360485
"X877_Urb_Air.quality",-0.575852527795645,-0.0672411241174754,0.112016881093648,-0.426447811265453,-0.0334787593798297,-0.178282238100748,-0.660728080471775
"X484_Urb_Nature.based.assets",0.197767851496323,-0.512329386475137,0.20519805472444,-0.382424914511989,-0.625349345838202,0.328783274292167,0.104360787520005
"X633_Urb_Nature.based.assets",0.0478650252220958,-0.597789905289296,-0.0283567279907213,-0.17893166993655,0.738961245148738,0.246586977851627,0.025819808061034
