codi_districte;nom_districte;codi_barri;nom_barri;Barrio turístico en 2023;805_Eco_Individual income;852_Eco_Individual income;582_Eco_Occupation;822_Eco_Occupation;1014_Eco_Occupation;283_Eco_Occupation;43_Eco_Tourism development;279_Eco_;523_Eco_;671_Inf_Education;809_Inf_Education;744_Inf_Education;974_Inf_Education;10_Healthcare;642_Healthcare;257_Healthcare;902_Healthcare;148_Housing;465_Housing;674_Housing;477_Housing;139_Housing;866_Housing;653_Housing;569_Inf_Leisure and cultural activities;198_Inf_Leisure and cultural activities;479_Inf_Noise;1041_Inf_Security and safety;30_Inf_Water consumption;989_Mob_;361_Mob_;515_Mob_;9_Soc_Cultural diversity and identity;329_Soc_Cultural diversity and identity;670_Soc_Cultural diversity and identity;123_Soc_Demographics;589_Soc_Density of social relations;331_Soc_Equality and diversity;799_Soc_Public participation and trust in institutions;565_Soc_Social participation;348_Urb_Population density;265_Urb_;534_Urb_;877_Urb_Air quality;484_Urb_Nature-based assets;633_Urb_Nature-based assets;Satisfacción_Barrio
2;Eixample;8;l'Antiga Esquerra de l'Eixample;No;26448,48;11,6;63,4;3,7;431,77;52,66;678;6,06;2568;82,42;7,2;0;7,9;84,86;4;40;2,7;84,7;51,65;16,75;86,12;2,32;4885,64;92,91;0;1,66;91,36;5,95;123,29;7,79;548,46;3068;28,42;41,56;36,04;42,27;15,63;7,3;9,26;157;643,44;2440;63,63;14545;0;0,08;7,66
2;Eixample;9;la Nova Esquerra de l'Eixample;No;24876,53;12;65,5;4,5;672,9;55,27;484;3,59;2060;79,76;8,2;495534;8,5;85,28;5;36;2,2;65,52;59,82;16,68;74,07;2,32;4296,73;86,02;0;0,71;71,18;5,99;109,59;12,99;505,73;3767;22,69;48,7;30,8;44,15;14,65;9,1;8,61;163;888,13;2145;57,76;17854;1,01;0,56;7,64
3;Sants-Montjuïc;12;la Marina del Prat Vermell;No;14750,75;12,4;54;16,2;50,01;46,77;3;12,59;191;56,2;24,3;0;45;78,5;0;3;10,3;32,2;64,44;13,39;56;2,46;2673,15;78,32;0;0,66;80,02;5,86;95,89;57,14;8891,54;260;17,34;0;24,55;41,02;14;15,73;16,44;14;38,2;762;83,92;10239;0,05;0,01;7,14
3;Sants-Montjuïc;13;la Marina de Port;No;17157,63;14,2;62,2;11,9;720,19;57,96;6;1,79;546;62,67;16,7;105875;25,8;84,43;5;15;4,3;44,18;70,96;12,58;71,14;2,53;2680,39;96,88;0;0,34;68,16;5,49;95,89;26,53;463,12;1485;18,26;19,73;27,12;45,99;11,22;14,07;11,06;70;799,28;674;50,58;8236;28,92;0,73;7,27
3;Sants-Montjuïc;14;la Font de la Guatlla;No;20404,02;14,6;64,6;7,4;193,38;53,11;131;1,93;200;73,03;13,1;0;15,2;84,5;0;4;2,4;55,61;63,98;15,82;68,35;2,45;3170,34;92,65;933194;0,32;80,15;5,61;98,63;14,29;470,14;539;25,36;42,86;33,65;44,33;13,4;10,71;10,5;22;890,35;431;49,75;2882;3,34;0,72;7,8
3;Sants-Montjuïc;15;Hostafrancs;No;19563,92;17;62,2;7,5;244,08;56,25;177;4,92;780;72,95;12,4;0;17,9;84,61;0;9;3,1;71,35;57,28;15,81;64,09;2,36;3159,78;87,21;0;0,95;68,99;5,59;98,63;3,7;411,61;1029;27,39;35,19;35,18;42,58;14,27;9,92;10;73;728,6;1068;62;3536;0;0;7
3;Sants-Montjuïc;16;la Bordeta;No;20131,33;11;67,2;7,5;295,9;56,25;30;2,23;428;70,09;14,2;0;15,2;85,25;1;12;2,8;50,41;69,74;21,06;65,97;2,44;3162,24;93,21;0;0,33;69,52;5,49;95,89;13,85;429,03;708;17,79;47,69;25,18;45,05;12,05;10,67;9,19;63;935,14;737;48,37;5045;0;0,5;7,35
3;Sants-Montjuïc;17;Sants - Badal;No;19529,78;15,7;63,8;9,5;314,39;56,59;97;2,82;682;70,61;14,4;0;16,9;85,34;1;17;2,3;57,5;63,7;15,68;65,1;2,4;3407,35;90,45;0;0,43;58,38;5,26;98,63;5,26;413,69;1159;21,69;42,11;31,06;44,84;13,17;9,79;10,33;39;992,15;1177;66,89;5791;0;0;6,98
3;Sants-Montjuïc;18;Sants;No;21647,55;13,1;63,1;7;604,57;56,38;238;3,72;1600;73,51;13,4;168176;18,9;85,73;4;33;2,5;69,53;59,27;15,76;66,91;2,33;3650,88;80,84;0;0,6;57,44;5,84;101,37;14,43;388,67;1942;26,13;45,36;33,82;42,69;13,17;7,9;9,36;172;735,34;3023;60,53;10125;0,45;0,65;7,89
4;Les Corts;19;les Corts;No;27634,17;7,6;67,3;3,6;552,77;56,28;211;4,24;1937;78,03;8,2;294864;7;85,9;4;36;2,5;52,18;64,86;17,08;75,82;2,37;4283,4;94,45;0;0,74;73,68;5,83;112,33;13,47;613,13;3604;15,59;47,15;21,49;47,18;13,28;9,1;8,01;147;710,09;1971;51,52;17532;0,02;3,13;7,85
