codi_districte;nom_districte;codi_barri;nom_barri;Barrio turístico en 2023;805_Eco_Individual income;852_Eco_Individual income;582_Eco_Occupation;822_Eco_Occupation;1014_Eco_Occupation;283_Eco_Occupation;43_Eco_Tourism development;279_Eco_;523_Eco_;671_Inf_Education;809_Inf_Education;744_Inf_Education;974_Inf_Education;10_Healthcare;642_Healthcare;257_Healthcare;902_Healthcare;148_Housing;465_Housing;674_Housing;477_Housing;139_Housing;866_Housing;653_Housing;569_Inf_Leisure and cultural activities;198_Inf_Leisure and cultural activities;479_Inf_Noise;1041_Inf_Security and safety;30_Inf_Water consumption;989_Mob_;361_Mob_;515_Mob_;9_Soc_Cultural diversity and identity;329_Soc_Cultural diversity and identity;670_Soc_Cultural diversity and identity;123_Soc_Demographics;589_Soc_Density of social relations;331_Soc_Equality and diversity;799_Soc_Public participation and trust in institutions;565_Soc_Social participation;348_Urb_Population density;265_Urb_;534_Urb_;877_Urb_Air quality;484_Urb_Nature-based assets;633_Urb_Nature-based assets;Satisfacción_Barrio
9;Sant Andreu;60;Sant Andreu;No;21392,19;6,8;69,7;6,7;1029,36;59,49;33;3,04;1754;69,88;12,8;394044;14,4;85,32;5;41;3,1;53,67;70,48;13,96;67,84;2,4;3084,81;90,85;12482;0,4;68,28;5,71;98,63;15,95;460,57;2777;10,63;44,17;16,27;46,62;12,15;10,82;8,29;179;761,11;4098;53,12;16253;0;0,12;7,96
9;Sant Andreu;61;la Sagrera;No;19714,73;11,7;66,9;8,2;436,49;56,18;22;2,31;680;71,05;13,5;67903;14,7;85,42;3;18;3,5;49,75;63,63;14,54;67,54;2,47;3304,12;96,97;0;0,35;76,17;5,92;95,89;9,46;420,66;1499;17,8;39,19;27,38;46,12;11,55;10,39;9,19;62;776,06;908;51,67;7435;1,47;0,46;7,91
9;Sant Andreu;62;el Congrés i els Indians;No;19990,23;12,5;66,6;8,1;212,26;56,18;6;3,23;462;72,22;13,4;0;15,8;85,28;0;10;3,4;58,92;66,97;14,02;70,06;2,43;2675,22;100;0;0,57;63,03;5,46;98,63;17,14;412,71;1210;16,93;40;25,46;45,36;12,75;10,14;9,19;46;761,73;911;54,53;3621;0;0,37;7,8
9;Sant Andreu;63;Navas;No;20386,75;12,2;67,8;7,2;325,31;56,23;22;2,52;554;73,02;12,6;0;13,2;85,32;0;12;2,9;52,84;66,37;14,45;70,93;2,42;3081,91;85,25;0;0,42;69,89;5,79;98,63;5,45;442,12;1338;17,51;41,82;25,97;46,34;12,52;10,08;8,57;35;995,49;801;58,99;5762;0;0;7,69
10;Sant Martí;64;el Camp de l'Arpa del Clot;No;20869,56;13,2;66,9;6,2;573,87;55,33;292;3,14;1198;75,19;11,7;150502;12,8;84,89;2;18;3,2;63,01;61,83;15,76;65,58;2,32;3538,29;92,55;0;0,5;71,1;5,53;98,63;14,29;430,3;2466;22,53;37,36;30,93;44,77;14,33;10,4;9,1;81;905,31;2631;62,18;9707;0;0;7,65
10;Sant Martí;65;el Clot;No;21010,85;10,5;66,9;6,7;421,82;55,95;49;3,07;810;73,28;11,5;0;12,6;85,51;1;15;3,2;58,03;67,12;15,4;72,6;2,44;3395,43;90,51;0;0,52;80,72;5,81;101,37;7,94;454,44;1465;18,5;38,1;25,73;45,56;12,03;9,59;8,48;69;1143,55;1106;42,45;7287;2,29;0,88;7,62
10;Sant Martí;66;el Parc i la Llacuna del Poblenou;No;21635,56;10,9;64,6;4,4;263,61;55,99;100;4,44;709;74,22;10,9;121326;11,7;85,19;1;11;2,4;62,56;63,67;17,25;73,73;2,43;4053,21;91,84;398797;1,05;70,08;5,85;98,63;12,37;584,96;2336;27,14;38,14;33,58;42,81;13,18;9,64;9,24;51;713,63;809;51,84;6148;0,54;0;7,94
10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;No;24412,11;10,4;67,9;3,1;297,07;53,95;125;3,24;434;71,03;10,7;0;11,5;85,36;1;8;1;28,66;68,15;18,81;79,57;2,49;5066,13;96,62;0;0,91;85,24;6,23;106,85;11,9;472,46;1062;23,32;35,71;28,15;43,41;11,74;8,42;8,27;26;564;339;36,76;4146;10,79;2;8,31
10;Sant Martí;70;el Besòs i el Maresme;No;13555,66;25,7;51,8;18,1;598,44;54,15;32;1,71;450;58,58;23,5;22944;41,4;84,15;2;13;3,5;53,47;65,34;12,49;63,56;2,72;2418,33;78,68;471420;0,29;77,33;5;93,15;11,25;330,49;1849;38,65;15;46,14;40,21;8,29;9,46;14,14;50;929,4;517;47,43;4867;1,66;0,35;7,2
10;Sant Martí;71;Provençals del Poblenou;No;19801,11;11;67,1;6,9;417,07;56,03;33;2,44;514;69,32;13,2;0;17,8;86,34;1;13;1,9;46;69,56;16,35;72,38;2,51;3209,31;90,75;0;0,42;88,02;5,58;95,89;14,86;509,28;1913;19,32;28,38;26,1;43,9;10,64;10,16;9,43;41;1384,64;829;49,03;6655;3,41;0,44;7,91
10;Sant Martí;72;Sant Martí de Provençals;No;18673,12;11,5;65,7;8,4;533,81;56,8;14;2,53;655;67,77;16,8;373993;18,3;86;2;16;4,4;54;73,85;13,54;73,62;2,44;2661,88;93,96;0;0,38;76,74;5,56;98,63;8,22;446,79;2247;17,07;20,55;23,65;47,36;12,26;12,16;9,09;94;1120,9;514;44,11;6800;1,74;0,98;7,75
10;Sant Martí;73;la Verneda i la Pau;No;16977,69;12,3;63,7;11,3;601,16;56,81;9;2,95;849;63,66;19,3;0;23,5;85,07;1;20;4,3;50,21;75,4;16,3;66,1;2,49;2290,78;92,84;0;0,36;92,51;5,41;95,89;3,7;456,34;2733;17,27;19,75;24,17;47,7;11,11;13,52;10,26;75;719,95;638;52,65;7591;0;0,3;7,84
