"codi_barri";"nom_barri";"Barrio.turístico.en.2023";"satisfaction";"Economic";"Healthcare";"Housing";"Infrastructure";"Mobility";"Social";"Urban"
37;"el Carmel";"No";7,28;-0,343375169114119;0,384203221793078;0,156509258160216;0,072047186636742;0,179152178437323;-0,864486467906591;0,474451380363364
38;"la Teixonera";"No";7,7;-0,148483054913381;-0,00636835178771006;0,179135427090493;-0,387959912028066;-0,0122686177390826;-0,85300656319779;-0,167219902175758
39;"Sant Genís dels Agudells";"No";7,89;-0,0844628318212031;-0,29227520424905;0,176483069977605;-0,374373774568833;-0,818222446239663;-0,32876211886605;-0,83376800425808
40;"Montbau";"No";8,04;0,141723507841979;-0,446572633629265;0,343259220049349;-0,193195337992507;-0,848807969265494;-0,492734731706382;-0,662677684142401
41;"la Vall d'Hebron";"No";8,31;0,388514011381556;-0,576329338050235;0,190172362141952;-0,107809894489237;-0,256634105597587;0,295253775675201;-1,05566936058659
42;"la Clota";"No";8,67;0,190376433207877;0,325204819176881;-1,65551523776436;-0,569346657504455;-1,78088731641649;0,685814726867214;-0,795081794752019
43;"Horta";"No";8,37;0,0936410740914311;0,431343950394645;0,227623439314862;0,0103933804050869;0,311168388701164;0,488553252186952;0,373001054189337
44;"Vilapicina i la Torre Llobeta";"No";7,62;0,0467725483833787;0,189688662680671;0,280778440798462;-0,140177527106158;0,288659799354863;-0,225396277557505;0,0930553056452475
45;"Porta";"No";7,61;-0,359981246486343;-0,343136891768193;0,203410061563306;-0,563895804303575;0,422877217222891;-0,238680412485929;-0,132525973526291
46;"el Turó de la Peira";"No";7,2;-0,599771614520726;-0,39192139726502;-0,0462186197777719;-0,373210680635285;0,164786237780631;-0,938424489075108;-0,555553040535372
47;"Can Peguera";"No";5,83;-0,633361507319561;-0,12066558167378;-0,0295377998225069;-1,00032681083567;-0,216042047656558;-0,918039508161765;-0,415202433288372
48;"la Guineueta";"No";7,71;0,00715269160791043;-0,153633521988369;0,481812977365201;-0,0710547715177534;0,209398046545627;-0,0264300792307353;-0,479832277623574
49;"Canyelles";"No";8,66;-0,0847620441529459;-0,762474547306424;1,11119426410771;-0,251029823158952;-0,000633181947530148;-0,482346219226684;-0,852785042371099
50;"les Roquetes";"No";7,22;-0,882824313865922;-0,149667829512395;-0,0138726117178568;-0,821999010469648;-0,154015026984231;-1,20337471909287;-0,352975995334347
51;"Verdun";"No";7,18;-0,570521930547627;-0,0569520366741663;0,0382001334797591;-0,751961808264469;0,0802288646013688;-1,04884684660306;-0,115884747395434
52;"la Prosperitat";"No";7,33;-0,306056798393844;-0,194499595447724;0,136324585165837;-0,650651700715766;-0,143640016297462;-0,763466518803401;0,0269385599972498
53;"la Trinitat Nova";"No";7,05;-0,949270015708299;-0,703384755079067;0,0847331162943188;-0,883249731314091;-0,0389668332731137;-1,52677563993736;-0,813116936177449
54;"Torre Baró";"No";7,16;-0,936298801137918;-0,159099632817682;0,137486459306891;-1,01595418591545;-0,303941267879188;-1,86818160695527;-0,541939684923271
