"ECON","HLTH","HOUS","INFR","MOBI","SOCI","URBN","OUT","n","incl","PRI","cases"
1,0,1,1,0,0,1,"?",0,"-","-",""
1,0,1,1,0,1,0,"?",0,"-","-",""
1,0,1,1,0,1,1,"1",2,"0.900604689455947","0.797545445806137","25,35"
1,0,1,1,1,0,0,"?",0,"-","-",""
1,0,1,1,1,0,1,"?",0,"-","-",""
1,0,1,1,1,1,0,"1",1,"0.905585427655552","0.667047148635568","65"
1,0,1,1,1,1,1,"?",0,"-","-",""
1,1,0,0,0,0,0,"?",0,"-","-",""
1,1,0,0,0,0,1,"?",0,"-","-",""
1,1,0,0,0,1,0,"1",1,"0.83033900536977","0.685150034787836","44"
1,1,0,0,0,1,1,"?",0,"-","-",""
1,1,0,0,1,0,0,"?",0,"-","-",""
1,1,0,0,1,0,1,"?",0,"-","-",""
1,1,0,0,1,1,0,"?",0,"-","-",""
1,1,0,0,1,1,1,"?",0,"-","-",""
1,1,0,1,0,0,0,"?",0,"-","-",""
1,1,0,1,0,0,1,"0",2,"0.721147163402771","0.328702992257886","4,29"
1,1,0,1,0,1,0,"?",0,"-","-",""
1,1,0,1,0,1,1,"1",2,"0.809913830201185","0.675069930635285","27,28"
1,1,0,1,1,0,0,"?",0,"-","-",""
1,1,0,1,1,0,1,"?",0,"-","-",""
1,1,0,1,1,1,0,"?",0,"-","-",""
1,1,0,1,1,1,1,"1",10,"0.834757174918232","0.739107978587826","6,9,13,14,15,22,30,31,32,34"
1,1,1,0,0,0,0,"?",0,"-","-",""
1,1,1,0,0,0,1,"?",0,"-","-",""
1,1,1,0,0,1,0,"?",0,"-","-",""
1,1,1,0,0,1,1,"?",0,"-","-",""
1,1,1,0,1,0,0,"?",0,"-","-",""
1,1,1,0,1,0,1,"?",0,"-","-",""
1,1,1,0,1,1,0,"?",0,"-","-",""
1,1,1,0,1,1,1,"1",1,"0.90085028448155","0.75574292804331","45"
1,1,1,1,0,0,0,"?",0,"-","-",""
1,1,1,1,0,0,1,"?",0,"-","-",""
1,1,1,1,0,1,0,"?",0,"-","-",""
1,1,1,1,0,1,1,"1",1,"0.974887445829909","0.937792883621634","8"
1,1,1,1,1,0,0,"?",0,"-","-",""
1,1,1,1,1,0,1,"?",0,"-","-",""
1,1,1,1,1,1,0,"1",1,"0.870119453397751","0.668669082787456","67"
1,1,1,1,1,1,1,"1",4,"0.911920780915709","0.851008438133625","23,24,37,62"
