"","PC1","PC2","PC3","PC4"
"X10_Healthcare",0.487864910828917,0.55537510145823,0.0368611142634637,-0.672448945063793
"X642_Healthcare",0.451565298850786,-0.587568869705753,0.660377883305449,-0.121460509909676
"X257_Healthcare",0.510634616959696,-0.434656799791316,-0.741266570930358,-0.0291483306339368
"X902_Healthcare",-0.545278733876646,-0.396730117873771,-0.114307393975275,-0.729527337141198
