"","PC1","PC2","PC3"
"X989_Mob_",0.670076227420117,-0.0188524707320962,-0.742052851078492
"X361_Mob_",0.509469358698211,0.738721031886551,0.441284726221181
"X515_Mob_",0.539850740477455,-0.673747594723547,0.504604158336194
